num,Gender,Age,SBSA1,SBSA2,SBSA3,SBSA4,SBSA5,SBSA6,SBSA7,SBSA8,SBSA9,SBSA10,SBSA11,SBSA12,SBSA13,SBSA14,SBSA15
220,2,20,5,8,0,10,8,0,5,0,4,4,5,5,0,0,8
221,1,20,2,2,1,7,4,1,9,6,3,7,0,2,1,2,5
222,1,20,8,6,8,9,7,5,8,4,4,7,8,4,8,7,8
223,1,19,2,0,0,5,2,2,1,0,0,0,2,1,2,1,3
224,1,20,0,2,0,8,3,0,5,0,0,0,1,2,0,0,0
225,1,20,5,4,4,7,3,3,5,3,3,3,3,3,3,3,3
226,2,22,5,2,2,7,2,2,7,5,2,1,2,2,4,2,8
227,2,21,0,0,10,7,0,3,0,0,0,0,3,0,0,0,0
228,2,20,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0
229,2,20,2,1,1,3,1,1,3,2,0,0,0,1,0,0,0
230,1,20,2,2,5,5,4,0,6,7,0,0,4,4,3,0,3
231,1,22,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
232,1,21,4,7,3,3,8,7,7,3,7,2,1,1,1,1,0
233,2,20,7,1,0,8,5,7,7,5,4,8,4,7,3,3,4
234,2,21,2,2,0,10,0,0,5,0,0,0,4,0,0,0,0
235,1,20,1,2,0,7,3,2,5,0,3,0,0,0,0,2,0
236,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,1,20,0,0,0,5,5,5,10,0,5,0,0,0,0,0,0
238,1,20,3,0,0,4,2,0,8,8,0,8,5,8,0,1,7
239,2,20,3,1,0,8,5,2,10,6,2,7,8,6,6,6,10
240,1,21,3,6,0,3,0,5,0,0,5,2,0,1,0,0,0
241,1,20,0,0,0,10,0,0,5,3,0,0,0,0,0,0,0
242,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
243,2,20,5,0,0,7,3,0,5,2,1,1,7,9,2,0,5
244,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,1,20,6,0,3,3,0,1,5,2,2,0,0,0,0,0,0
246,2,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
247,2,19,5,7,2,9,2,5,7,2,5,5,6,3,3,5,6
248,1,21,2,0,0,5,0,0,8,0,0,2,5,7,0,0,5
249,2,20,5,0,0,7,5,0,8,6,0,4,6,5,5,2,5
250,2,20,3,1,6,8,9,1,5,2,0,0,1,0,0,0,0
251,1,21,0,4,3,7,0,4,1,0,0,1,0,0,0,0,0
252,1,20,0,10,10,10,10,0,10,10,0,10,10,0,10,0,10
253,1,20,4,3,0,7,3,2,5,3,1,1,2,1,1,1,1
254,1,23,3,1,0,2,3,3,6,3,2,3,2,2,2,2,2
255,2,20,3,4,0,9,4,2,10,7,1,5,2,3,5,3,7
256,1,19,4,5,4,5,4,5,4,5,5,4,4,5,4,5,4
257,2,20,2,2,3,3,4,5,6,5,5,5,5,5,5,5,4
258,1,21,3,0,0,8,4,0,7,4,1,2,7,2,2,2,6
259,1,20,1,1,1,1,0,0,7,0,0,1,2,1,0,0,3
260,2,20,1,0,0,5,2,1,10,0,0,0,2,5,2,0,0
261,2,21,7,3,2,7,3,2,6,2,1,8,6,4,8,3,6
262,1,21,1,1,0,6,0,1,1,4,0,0,0,1,0,0,0
263,1,20,8,0,5,8,5,0,9,7,0,6,4,5,6,2,0
264,1,20,0,0,0,5,0,0,6,3,0,0,0,0,0,0,0
265,2,21,3,2,1,8,5,2,10,3,0,1,5,5,0,0,0
266,2,21,2,2,0,2,3,0,6,1,1,2,5,2,2,1,5
267,1,20,2,3,0,8,0,0,0,0,0,0,0,0,0,0,0
268,1,21,2,1,0,5,2,3,8,3,8,3,2,6,7,1,2
269,1,21,3,6,5,10,4,3,6,4,3,4,6,3,2,2,3
270,2,19,4,4,0,5,0,0,10,9,0,0,1,0,6,2,10
271,2,21,5,2,1,1,4,1,4,4,1,1,6,4,2,0,7
272,2,21,3,2,1,4,0,0,1,0,0,0,0,0,0,0,1
273,1,21,2,1,0,6,0,0,5,5,0,0,2,1,1,0,0
274,1,20,3,4,0,6,0,0,5,0,0,0,0,0,0,0,0
275,2,20,0,4,0,5,3,0,0,7,0,0,0,0,0,0,0
276,1,20,3,1,1,4,2,1,5,7,1,8,4,2,2,1,1
277,1,20,5,2,8,5,5,3,8,2,5,8,8,5,6,2,6
278,2,19,3,3,1,2,5,5,6,1,5,4,2,1,4,2,2
279,1,20,6,3,2,2,5,2,2,2,2,2,2,2,2,2,0
280,2,20,4,2,2,8,1,1,7,9,1,1,1,1,1,1,1
281,2,20,2,0,0,5,0,0,10,3,0,3,3,0,0,0,3
282,1,21,2,0,1,3,3,1,5,2,2,2,2,2,2,2,2
283,2,21,7,3,0,3,0,0,0,3,2,6,0,1,0,0,0
284,2,20,0,0,0,4,10,0,10,1,0,0,9,0,0,0,5
285,1,20,5,3,0,3,1,0,3,2,1,0,0,2,3,0,0
286,1,21,3,7,2,10,0,1,8,4,1,0,3,2,2,0,5
287,1,20,0,2,0,6,1,1,7,0,1,0,0,0,0,0,0
288,2,20,3,4,0,5,0,0,1,0,0,0,0,1,0,0,0
289,1,20,10,0,0,10,0,0,0,0,0,0,0,0,0,3,0
290,1,20,3,0,0,5,2,1,5,0,0,1,0,0,5,0,2
291,1,20,0,10,3,0,0,1,0,0,0,0,1,0,0,0,0
292,1,21,2,1,1,6,2,1,8,2,0,6,3,4,1,2,1
293,1,21,3,2,2,10,1,0,5,4,0,2,0,0,2,3,1
294,1,21,3,0,10,10,4,1,6,6,1,0,1,0,0,0,2
295,1,20,3,4,7,4,4,8,8,6,6,4,3,3,6,6,4
296,2,21,3,1,0,2,2,0,3,1,1,2,3,1,0,0,0
297,1,21,4,2,0,10,0,8,10,0,0,0,2,7,3,1,0
298,2,20,6,0,0,5,4,0,5,5,0,0,0,8,0,0,0
299,2,20,5,4,5,7,2,5,8,8,6,8,5,7,7,5,5
300,2,20,0,1,0,5,2,0,6,4,1,0,1,5,2,0,0
301,2,21,1,0,0,2,0,0,2,2,0,1,1,1,0,0,1
302,1,20,6,6,4,5,5,5,3,4,4,3,2,3,2,3,2
303,1,20,4,1,0,4,0,2,8,1,1,1,3,4,2,2,4
304,1,20,5,0,0,7,0,0,5,0,0,0,0,0,0,0,0
305,1,20,1,0,0,8,0,0,8,1,0,1,1,1,5,0,2
306,1,21,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
307,2,21,2,0,0,5,2,0,3,0,0,2,0,0,2,0,0
308,2,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
309,1,21,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0
310,1,20,2,5,7,7,4,3,6,8,2,3,0,4,6,1,0
311,2,20,7,5,10,5,10,2,10,0,4,8,3,1,3,2,3
312,1,20,1,1,0,5,1,1,8,1,0,0,0,0,0,0,0
313,2,22,5,2,2,10,1,2,3,4,1,1,3,5,3,1,0
314,2,20,0,2,0,5,0,0,4,0,0,0,0,0,0,0,0
315,2,20,1,1,0,0,0,0,3,0,1,0,0,0,1,0,3
316,2,20,0,0,0,5,0,3,5,0,0,0,0,0,0,0,0
317,2,21,2,1,3,8,3,1,7,7,3,3,0,2,2,0,0
318,2,21,1,0,0,3,5,1,8,10,1,5,4,10,10,1,3
319,1,20,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0
320,1,20,2,2,0,7,2,1,7,3,1,0,5,2,5,1,3
321,1,21,1,0,1,4,0,0,3,0,0,0,5,0,3,0,0
322,1,21,5,7,0,5,0,5,5,5,5,0,0,5,0,0,0
323,1,20,4,2,0,9,0,0,2,0,3,0,0,2,0,0,0
324,2,20,4,2,1,6,1,1,3,1,0,0,0,1,0,0,0
325,2,20,5,1,0,7,0,2,1,5,5,5,5,0,5,5,7
326,1,21,3,6,5,10,4,3,6,4,3,4,6,3,2,2,3
327,1,20,0,0,0,10,0,0,0,0,0,0,5,0,0,1,0
328,2,21,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0
329,2,21,0,0,5,8,0,4,0,0,0,0,0,0,0,0,0
330,2,20,5,5,7,5,5,0,8,6,4,4,5,4,4,5,9
